央视频道,#genre#
河南卫视,http://222.142.65.165:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0$平顶山联通
河南都市,http://222.142.65.165:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0$平顶山联通
河南民生,http://222.142.65.165:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0$平顶山联通
河南法治,http://222.142.65.165:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0$平顶山联通
河南电视剧,http://222.142.65.165:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0$平顶山联通
河南国际,http://222.142.65.165:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0$平顶山联通
河南新闻,http://222.142.65.165:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0$平顶山联通
河南乡村,http://222.142.65.165:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0$平顶山联通
梨园,http://222.142.65.165:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0$平顶山联通

河南都市,http://123.7.110.43:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=0&authid=0$周口联通
河南民生,http://123.7.110.43:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=0&authid=0$周口联通
河南法治,http://123.7.110.43:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=0&authid=0$周口联通
河南电视剧,http://123.7.110.43:9901/tsfile/live/1029_1.m3u8?key=txiptv&playlive=0&authid=0$周口联通
河南新闻,http://123.7.110.43:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=0&authid=0$周口联通
河南公共,http://123.7.110.43:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0$周口联通
梨园,http://123.7.110.43:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0$周口联通

河南卫视,http://171.14.89.69:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0$南阳电信
河南都市,http://171.14.89.69:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$南阳电信
河南民生,http://171.14.89.69:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$南阳电信
河南法治,http://171.14.89.69:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$南阳电信
河南电视剧,http://171.14.89.69:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$南阳电信
河南新闻,http://171.14.89.69:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$南阳电信
河南公共,http://171.14.89.69:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0$南阳电信
河南乡村,http://171.14.89.69:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0$南阳电信
移动戏曲,http://171.14.89.69:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0$南阳电信

河南卫视,http://1.199.235.116:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0$洛阳电信
河南都市,http://1.199.235.116:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$洛阳电信
河南法治,http://1.199.235.116:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$洛阳电信
河南新闻,http://1.199.235.116:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$洛阳电信
河南公共,http://1.199.235.116:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$洛阳电信

卫视频道,#genre#

东方卫视,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8$黑龙江IPV6
湖南卫视,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8$黑龙江IPV6
江苏卫视,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8$黑龙江IPV6
浙江卫视,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8$黑龙江IPV6
安徽卫视,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8$黑龙江IPV6
北京卫视,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8$黑龙江IPV6
